text	title	kws
"At DataGrain we value diversity and our team members are committed to being excellent teammates.
As a company, we do our utmost to be sensitive towards the diverse experiences of all of our customers, whether that's in their digital experiences or work environments. We understand our individual positions and work hard at setting those up for everyone while balancing it with a personal relationship building ethos built around learning from each other over time (especially within our Engineering org). As an equal opportunity employer we actively seek out, develop and promote diverse voices throughout the organization and strive to maintain an environment that enables this by providing transparency regarding race, gender diversity/inclusion and disability status along with annual and ongoing transparent employee presentations/reviews on internal operations. In addition to promoting diversity and inclusion, we believe we deliver great results simply because they're better when people’s differences are respected and included in the conversation in order to increase engagement around our business & products, while respecting differences in perspectives as needed across different teams & channels. Join us on our journey, working alongside smart, innovative, curious engineers who think big ideas through to solve challenging problems that help our global clients make great impact in markets large and small!

Responsibilities: Conduct analyses using statistical evaluation techniques, model design, data mining/profiling as well as create predictive models and algorithms applying ML methodologies. Develop machine-learned recommendation algorithms based on structured and unstructured feedback including online survey data which is then used to augment customer experience through A/B testing using online tools such as Tableau. Develop novel, accurate, efficient solutions in Python and TensorFlow as part of Machine Learning teams. Create user-facing web applications using various front end Frameworks. Collaborate with cross-functional colleagues with the understanding that we must balance innovation and usability in daily tasks. Identify ways towards building collaborative culture among DataGrain team and ensure it reflects the commitment towards the wider goal of developing software/tools to drive best practices and deliver data solutions using artificial intelligence and statistical methods that will improve both the efficiency and effectiveness of how business organizations leverage information to extract insights which enable key business decisions."	Data Scientist - Recommendation systems	Recommendation systems,Python,neural networks,develop algorithm,predict customer interest,TensorFlow,PyTorch,ML frameworks
"SummaryAs a business consultant to the Federal Civil Service's (FSCS) Digital Acquisition, Operations and Marketing Planning System (DAMPS), you will be responsible for designing, development, testing, evaluating and implementing algorithms/software solutions across the DAMPS platform.The applicant would have excellent troubleshooting skills and strong analytical ability both in written and verbal communication as well as possess a sound logical, reasoning mind-set to ensure appropriate decision making processes are followed in analyzing and recommending changes/improvements along the software development life cycle (SDLC). The ideal candidate will exhibit a passion for best practices in Machine Learning and Artificial Intelligence.

ResponsibilitiesWorking closely with product teams (Computer Vision Lab, Algorithms Group, Data Science Team,etc.)The scientist should provide guidance to the team and contribute effectively in all work setting activities supporting and/or building up algorithms, tools and models on different computing platforms including but not limited to HPC clusters, Embedded environments etc.Candidates who show interest on deep learning algorithms, neural networks applications or statistical concepts or who possess prior experience working on similar problems, may apply for this positionExperience and understanding of DL techniques such as classification with supervised and unsupervised methods using TensorFlow, Pytorch and KerasKnowledge of common technologies including NLP, ML frameworks like H2O, Scala and Spark experience using C/C++ is strongly preferred.Applicants from India and Iran also qualifyThis role falls under the Delhi Metro Cyber City (DMCC) Talent Management Policy This firm has an ongoing recruitment process which allows postings to become active at any given time.Posting #01558520LocationUS Postcode 49017AreaAtlanta GA 30036DescriptionDemonstrates high level of problem solving and good interpersonal relationsAbility to build machine learning models and applications in PythonDevelop algorithm in Python, and deliver software system solution in MATLABProgramming language programming language"	Data Scientist - Recommendation systems	Recommendation systems,Python,neural networks,develop algorithm,predict customer interest,TensorFlow,PyTorch,ML frameworks
"Job Description

Performs design and develop algorithmic solutions to improve existing business processes while maintaining high reliability of outcomes. Generates accurate predictions in the business environment based on an analysis of data from various disparate sources. Recommends appropriate technical or operational changes and strategies for improving the effectiveness of those changes to system architecture and/or operations to enhance operational productivity and efficiency, quality of service, cost reduction efficiencies, efficiency, security, stability and resilience. Manages projects via scrum, project prioritization, communication to all levels of IT teams to translate requirements into functional specifications. Collaborate with other engineers on architectural and design discussions to define new architectures where necessary, develops test plans to ensure functional compatibility of designs as well as perform code reviews for accuracy when working with developers.

 
Strong experience utilizing software development lifecycle approach including: Python (Scipy/Jupyter, Pytorch)
Neural Networks
Deep learning concepts & Applications
SQL & Database Concepts
Programming languages: C, Python etc. Skills listed below are preferred.
2 years relevant work experience designing ML and AI algorithms for large scale applications/systems.
Ability to write clean and maintainable code that follows best practices in related areas.
Demonstrated effective problem solving skills. Ability to create clear, concise documentation describing algorithms and approaches to achieve goals, with emphasis placed on reproducible/high-quality results.
Excellent interpersonal and verbal communications with all levels of managers and customers across geographies & disciplines.
Excellent teamwork skills; ability to thrive both individually and collaboratively within a team context. Preference will be given to candidates possessing outstanding judgment, critical thinking, creative problem solving and detail oriented. Experience supporting mission essential business objectives and requirements through implementation of data science methodology and advanced analytic capabilities.
Education/Experience
Bachelor’s degree in Computer Science or similar is required"	Data Scientist - Recommendation systems	Recommendation systems,Python,neural networks,develop algorithm,predict customer interest,TensorFlow,PyTorch,ML frameworks
"Job Description

Responsibilities
Develop an Algorithm to Predict Customer Interest Based on the Customer's Behavior and Data Sets.
Implement Algorithms in Tensorflow Framework.
Validate Algorithm and Perform A/B Test.
Report And Communicate Results In Excel Presentations.
Perform Statistical Analysis Of Derived Data Points Or Visualizations On H1b / M2b Visa Application By Using Various Tools (PowerBI, Google Sheets, Sqoop, R) To Display Similarity Between Unique Identifiable Objects.




Education & Qualifications
BS / MS in Computer Science from an approved college or university with Mathematics or Statistics Background.




Preferred Skills / Experience
Pseudo Neural Networks in Deep Learning for Ad Hoc ML problems for Recommender Systems which has proven effective in identifying consumer behavior change over time and predicting customer trend growth based on individual consumers actions.
Embedded AI in Dataviz, Kubernetes - Python on Kubernetes technologies, using PyTorch/kinesis technologies such as containerizing/swarming architecture will enable fast experimentation of ML models that can be incorporated into system design including evaluation and tuning of performance characteristics.
Knowledge and experience working with Client end to end like REST APIs, Graph Search, Batch processing etc., will help building end-to-end AI solutions to build AI-based prediction algorithms in scalable ways.
Solid understanding, skills of Big data related programming concepts such as data structures such as datasets collection, querying functions ( LIKE SQL statements or LIMIT SELECTs).
Experience creating complex Models out of Data sets is a plus.
Strong analytical, problem solving and debugging and problem solving problem oriented approach
Ability to create intuitive visual representations of statistical trends within dataset and use the same methodologies / techniques to draw conclusions regarding data analysis and inference in regression models
Excellent communication, collaboration and conceptual ability who thrive in cross functional teams"	Data Scientist - Recommendation systems	Recommendation systems,Python,neural networks,develop algorithm,predict customer interest,TensorFlow,PyTorch,ML frameworks
"Title : Python Data Analyst
Location : IrvingEstimated Term of Service: 12-21 months 
Position Summary::
As an early leader in TEMP AI/NLP customer data prediction (CRM) solutions, we are expanding our team by adding a Senior Data Science Developer as well as creating positions for various other roles. Our data science products and applications utilize Machine Learning with both structured and unstructured datasets. These technologies enable better predictions by helping clients maximize engagement across all communication channels. This role is responsible to lead the development of recommendation system architectures based on user segmentation, segmentation related question answering (RQA), deep learning (LSTMs / DNN/Puffers), unsupervised search modeling using Deep Neural Networks (CNNs/Recurrent Nets), and Natural language understanding (NLU). The ability to break down research areas into concrete implementation specific packages for use in your products drives innovation to improve product effectiveness while also driving customer value. To this end, you should have experience writing python code, managing projects effectively to meet deadlines, solving real problems where ML frameworks are inadequate, or where existing tools can be a major limiting factor (e.g., large datasets required to model the interactions among various users in real-time environments) or where there simply isn’t an appropriate platform that combines ML frameworks with production infrastructure. Experience owning end to end projects with associated QA processes will also be desirable to understand system performance, provide robust insights to improve efficiency, etc.
Key responsibilities:
Train and optimize neural network models using PyTorch
Generate predictions when ML models miss their target
Define metrics on ML models and communicate them at various levels within IT organization
Analyze user behavior, investigate root cause issues, establish test plans, create automation tests and release test environment
Create documentation of developed methodologies, metrics or findings 
Collaborate cross functionally "	Data Scientist - Recommendation systems	Recommendation systems,Python,neural networks,develop algorithm,predict customer interest,TensorFlow,PyTorch,ML frameworks
"Description
Job Description
We are a world changing AI and Machine Learning startup dedicated to bringing the benefits of artificial intelligence and autonomous driving directly onto the public roadways in America.  The company was co-founded by Dr Robert Bosch (Masters in Computer Science), Dr Peng Wu (PhD from Stanford) with extensive background in Machine Learning and Artificial Intelligence technologies (NVIDIA Jetson T520 and MX1). We developed core algorithms (Automatic 3d Object Segmentation and CNN, Image Processing using PyTorch and Deep Neural Networks for object tracking and classification) which has been published many times internationally such as Journal of AR/VR Research (2 nd year of publication; 2017).  This group will work closely internally through the entire development process, including machine learning solutions based on our neural networks.  
Key Experience And Skills
The Company is looking for someone who combines strong computer graphics experience, solid understanding of ML models (e.g., classification, regression, clustering, time series forecasting, Bayesian modeling etc.), knowledge of the software engineering practices of large research teams, ability and willingness to adapt quickly, excellent communication skills, and desire to advance the state of Art by innovating at a product level, while having extensive domain knowledge on current tools used on the task (OpenCV, cv::mat or equivalent libraries and products on open markets, etc.). Preference will be given to individuals with applied statistics and data analytics backgrounds, plus practical experience solving problems using analytical methods.  Ability to present ML models as well as take ML concepts across the business units and organizations working within the organization. Good interpersonal and communication skills. Ideally can learn with open source products.
Must work independently"	Computer Vision - Autonomous Drive	Computer vision,Python,neural networks,develop algorithm,Objects Tracking Technique,kinematics,probability,geometry,autonomous vehicle,image recognition,AI/Machine Learning,image segmentation,PyTorch,ML frameworks
"Title: Artificial Intelligence Team Member

Department: Engineering


Experience: 3+ years of related software development in Python. AI framework / machine learning libraries, e.g., TensorFlow or PyTorch for image classification problems and Keras / Cuda/CUDA GPU to train Deep Neural Networks (CNNs). Develop algorithm that classify objects using computer vision techniques. You are familiar with multi-dimensional geometry (2D) including perspective, 3D position of object relative to camera and other sensors. Strong knowledge of classical data science concepts (hypotheses evaluation, hypothesis testing), statistics, linear algebra equations. Familiarity of 3D geometry such as hyperbolas, equivariant geometry, 3D vectors and matrices with respect to the Euclidean space is must. Experience of working on automotive applications is nice to have; experience working with cameras/radars/etc on self driving vehicles might be useful. Excellent interpersonal skills and ability to work cross functionally with various team members at Toyota Research Institute.


Desired Skills: Machine Learning algorithms like Bayesian Classification, CNN regression, tree based methods etc etc


Education & Requirements : PhD in Electrical engineering, Information Computer Science, Information Systems



Qualifications:-

-Familiarity with Deep Functional Image Recognition techniques, especially PyTorch for images;

Strong knowledge of CNN and ML frameworks like NumPy/scikit learn/tensorflow/Keras & CUDA GPU to Train Neural Networks;

Previous experience designing machine learning and image analysis system is useful;

Knowledge of Geometric Algorithms (e.g., inverse kinematics); Experience in Python scripting is desired ;


Role Number: 200263785"	Computer Vision - Autonomous Drive	Computer vision,Python,neural networks,develop algorithm,Objects Tracking Technique,kinematics,probability,geometry,autonomous vehicle,image recognition,AI/Machine Learning,image segmentation,PyTorch,ML frameworks
"Summary:
As a Computer vision / AI engineer I will be part of the team developing and analyzing images to keep my autonomous car safe.  Please check out the related internship opportunities on our website if you are interested! A key task is doing image preprocessing, filtering, and normalizing various data points before integrating them into complex maps with neural networks (e.g., SVM-RNN) in order to solve scene understanding problems using GEPs techniques with time series information along the way. It is also crucial to me that the analysis engine has an infrastructure for getting real time real velocity data from external sensors for use in further development of safety features within our systems. Furthermore, if my algorithms work well there could well come a day when we deploy these systems at large scale.

 




Key Qualifications :
Deep learning fundamentals including CNNs and RNN's
Probable solution in probability space based on current empirical work by Hinton or Shaviro; or equivalent applied research & mathematical experience.
Good C++ skills to develop and analyze software problems
Knowledge in Deep Networks/deep learning optimization such as Convolutional Neural Nets/GPT 
Experience building deep neural network architectures using pytorch
Excellent oral and written communications skills with the ability to understand technical specifications
Publications / research papers relevant to GCP.

Strong desire to continue progressing within their respective fields and continuing to build technology that benefits society

Bachelors or Masters degree with focus on computer science; PhD/Exercise in Math/Stat.



 Experience Type: Contract  Required skills:
Deep Learning Principles/Principles 2D / 1D visual domain knowledge
Statistics, Probability theory and Machine learning"	Computer Vision - Autonomous Drive	Computer vision,Python,neural networks,develop algorithm,Objects Tracking Technique,kinematics,probability,geometry,autonomous vehicle,image recognition,AI/Machine Learning,image segmentation,PyTorch,ML frameworks
"This individual is a candidate for REMOTE hire in the Washington DC area (remote work only). Must have a Master's Degree in Computer Science or Machine Learning and possess 5+ years of experience with Python. Strong background in image recognition and machine learning algorithms to solve challenging problems such as Object Recognition, Image Classification, Orientation Inertial Odometry and Point Cloud Information retrieval. Experience developing computer vision models for autonomy on automotive-grade systems using PyTorch. Demonstrates ability to apply theoretical mathematics and solve practical problems.


Desired Skills & Qualifications:
Hands On with Numpy, NumPy
Experience writing clean code in Golang (optional)
NLP experience a plus. 
Experienced on state of the art ML frameworks such as Tensorflow
Keen eye regarding real world geometry (Finite Element Methodology preferred)


Role Number # 20268564 email resume at hr dot org

Ameritrade Consulting Solutions Group

p:(703)-821-4830; f:[email protected] x20431744;

c:[email protected]: [email protected] 

We provide solutions consulting that takes our clients from concept to product launch. Our comprehensive technology portfolio helps us tackle many complex challenges across multiple applications using specialized engineering knowledge and expertise.




Disclaimer/Statement of Work Title : Embedded Systems Test Engineer- 3M US Incorporated

Position Type : full time


Basic Job Summary
Working within IT department within 3M (US),we conduct test efforts (for production products and prototypes) according to established guidelines to evaluate various aspects of the designs and specifications related to test strategy in coordination with Product Planning and Production teams. Utilizing company provided equipment, such as automated testing environments as well as industry standard tools/software, the team is tasked by IT leadership with preparing plans, supporting R&D efforts, assisting with Quality control efforts and working closely with system integration engineers throughout all phases necessary to meet IT quality standards. This position requires close attention to detail, strong interpersonal skills as well as understanding of manufacturing operations for both domestic or foreign customers worldwide which supports delivery of new and current production components. Position will involve regular visits to various fields located throughout the United States including Florida and Virginia as required.




Education Requirements(Required Skills):"	Computer Vision - Autonomous Drive	Computer vision,Python,neural networks,develop algorithm,Objects Tracking Technique,kinematics,probability,geometry,autonomous vehicle,image recognition,AI/Machine Learning,image segmentation,PyTorch,ML frameworks
"What you will do:
Work cross functionally with engineering and science team on realigning and optimization of software for the sake of autonomous vehicle systems. Work closely with researchers and other AI/MlT experts to determine requirements, develop algorithm and test cases for evaluating performance under varied scenarios in multi-object environments using state-of-the art machine learning techniques such as neural network models.
Work closely with engineering personnel as they develop and optimize computer architecture for robust machine learning platform that can handle large compute and memory loads. Develop low-level python packages necessary for the analysis (mainly image processing) part using libraries like scikit learn, Tensorflow. Optimize low level code and use ML framework and algorithms used by various teams
Ensure stability and scalability of our model by working heavily into CI pipelines as needed.
Develop algorithm to analyze scene geometry from multiple point perspectives (e.g. LIDAR data). Develop best tool to interpret generated imagery and detect objects accurately. Develop mathematical solution for object tracking technique.
Requirements :
MS (Phd) or advanced degree (Master), years relevant experience are plus; C++ preferred (or equivalent) Experience building and deploying complex real-time, latency sensitive AI system. Strong knowledge and hands-on experience implementing high quality AI software (especially Python / machine learning tools, frameworks etc.). Good understanding around data structures, programming and ML technologies, problem solving concepts. Proficiency at building applications in modern version control environments, Git or similar. BS (BSCS is ok too.) PhD preferred. Excellent verbal and written communication skills. In depth knowledge about computer vision problems using CV and DL technologies, familiarity with computer vision algorithms like segmentation, detection, registration & normalization using different modalities and real world spatial situations including 3D viewings and point cloud. Machine learning, image analytics & machine learning based solutions to complex problems are the focus of research within this research group
Additional Comments:
We are an innovative industry leader in developing advanced imaging technology that enables our current fleet of luxury automobiles. As a Fortune 500 company, we are committed to researching, manufacturing and selling vehicles driven continuously."	Computer Vision - Autonomous Drive	Computer vision,Python,neural networks,develop algorithm,Objects Tracking Technique,kinematics,probability,geometry,autonomous vehicle,image recognition,AI/Machine Learning,image segmentation,PyTorch,ML frameworks
